Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
PassPerItem,1000,Integer,9581024,,,,,,,,,
PassPerItem,1000,Integer,9614594,,,,,,,,,
PassPerItem,1000,Integer,9575398,,,,,,,,,
PassPerItem,1000,Integer,9578951,,,,,,,,,
PassPerItem,1000,Integer,9525108,,,,,,,,,
PassPerItem,1000,Integer,9643721,,,,,,,,,
PassPerItem,1000,Integer,9535450,,,,,,,,,
PassPerItem,1000,Integer,9571709,,,,,,,,,
PassPerItem,1000,Integer,9630198,,,,,,,,,
PassPerItem,1000,Integer,9597745,,,,,,,,,
PassPerItem,1000,Integer,9574704,,,,,,,,,
PassPerItem,1000,Integer,9606773,,,,,,,,,
PassPerItem,1000,Integer,9553743,,,,,,,,,
PassPerItem,1000,Integer,9642815,,,,,,,,,
PassPerItem,1000,Integer,9567597,,,,,,,,,
PassPerItem,1000,Integer,9169742,,,,,,,,,
PassPerItem,1000,Integer,9223182,,,,,,,,,
PassPerItem,1000,Integer,9273345,,,,,,,,,
PassPerItem,1000,Integer,9302311,,,,,,,,,
PassPerItem,1000,Integer,9700171,,,,,,,,,
PassPerItem,1000,Integer,9585134,,,,,,,,,
PassPerItem,1000,Integer,9560952,,,,,,,,,
PassPerItem,1000,Integer,9607344,,,,,,,,,
PassPerItem,1000,Integer,9605902,,,,,,,,,
PassPerItem,1000,Integer,9544666,,,,,,,,,
PassPerItem,1000,Integer,9559727,,,,,,,,,
PassPerItem,1000,Integer,9559390,,,,,,,,,
PassPerItem,1000,Integer,9336305,,,,,,,,,
PassPerItem,1000,Integer,9197925,,,,,,,,,
PassPerItem,1000,Integer,9180699,,,,,,,,,
PassPerItem,1000,Integer,9457900,,,,,,,,,
PassPerItem,1000,Integer,9221933,,,,,,,,,
PassPerItem,1000,Integer,9391301,,,,,,,,,
UntilNoChange,1000,Integer,9812368,,,,,,,,,
UntilNoChange,1000,Integer,10303140,,,,,,,,,
UntilNoChange,1000,Integer,10195743,,,,,,,,,
UntilNoChange,1000,Integer,10205070,,,,,,,,,
UntilNoChange,1000,Integer,9864282,,,,,,,,,
UntilNoChange,1000,Integer,10066862,,,,,,,,,
UntilNoChange,1000,Integer,10031653,,,,,,,,,
UntilNoChange,1000,Integer,9582904,,,,,,,,,
UntilNoChange,1000,Integer,9451232,,,,,,,,,
UntilNoChange,1000,Integer,9679888,,,,,,,,,
UntilNoChange,1000,Integer,9247571,,,,,,,,,
UntilNoChange,1000,Integer,9485472,,,,,,,,,
UntilNoChange,1000,Integer,9154049,,,,,,,,,
UntilNoChange,1000,Integer,9170109,,,,,,,,,
UntilNoChange,1000,Integer,9606239,,,,,,,,,
UntilNoChange,1000,Integer,10166905,,,,,,,,,
UntilNoChange,1000,Integer,10033896,,,,,,,,,
UntilNoChange,1000,Integer,11621551,,,,,,,,,
UntilNoChange,1000,Integer,9931123,,,,,,,,,
UntilNoChange,1000,Integer,10053618,,,,,,,,,
UntilNoChange,1000,Integer,10977704,,,,,,,,,
UntilNoChange,1000,Integer,10522959,,,,,,,,,
UntilNoChange,1000,Integer,10414683,,,,,,,,,
UntilNoChange,1000,Integer,10673980,,,,,,,,,
UntilNoChange,1000,Integer,10460045,,,,,,,,,
UntilNoChange,1000,Integer,10584760,,,,,,,,,
UntilNoChange,1000,Integer,10269134,,,,,,,,,
UntilNoChange,1000,Integer,9905599,,,,,,,,,
UntilNoChange,1000,Integer,10467965,,,,,,,,,
UntilNoChange,1000,Integer,10474004,,,,,,,,,
UntilNoChange,1000,Integer,10371062,,,,,,,,,
UntilNoChange,1000,Integer,10664369,,,,,,,,,
UntilNoChange,1000,Integer,10315584,,,,,,,,,
UntilNoChange,1000,Integer,10025048,,,,,,,,,
UntilNoChange,1000,Integer,10101633,,,,,,,,,
UntilNoChange,1000,Integer,10195115,,,,,,,,,
UntilNoChange,1000,Integer,10343747,,,,,,,,,
UntilNoChange,1000,Integer,10340107,,,,,,,,,
UntilNoChange,1000,Integer,10251546,,,,,,,,,
UntilNoChange,1000,Integer,10327119,,,,,,,,,
UntilNoChange,1000,Integer,10491004,,,,,,,,,
UntilNoChange,1000,Integer,10136643,,,,,,,,,
UntilNoChange,1000,Integer,10151128,,,,,,,,,
UntilNoChange,1000,Integer,9436014,,,,,,,,,
UntilNoChange,1000,Integer,10411598,,,,,,,,,
UntilNoChange,1000,Integer,10034675,,,,,,,,,
UntilNoChange,1000,Integer,10372248,,,,,,,,,
UntilNoChange,1000,Integer,10266810,,,,,,,,,
UntilNoChange,1000,Integer,10133923,,,,,,,,,
UntilNoChange,1000,Integer,10374778,,,,,,,,,
UntilNoChange,1000,Integer,10467146,,,,,,,,,
UntilNoChange,1000,Integer,10384593,,,,,,,,,
UntilNoChange,1000,Integer,10383917,,,,,,,,,
UntilNoChange,1000,Integer,9991066,,,,,,,,,
UntilNoChange,1000,Integer,9863238,,,,,,,,,
UntilNoChange,1000,Integer,9610179,,,,,,,,,
