Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
PassPerItem,1000,Integer,9703313,,,,,,,,,
PassPerItem,1000,Integer,9692980,,,,,,,,,
PassPerItem,1000,Integer,9661109,,,,,,,,,
PassPerItem,1000,Integer,9637369,,,,,,,,,
PassPerItem,1000,Integer,9616303,,,,,,,,,
PassPerItem,1000,Integer,9645029,,,,,,,,,
PassPerItem,1000,Integer,9632148,,,,,,,,,
PassPerItem,1000,Integer,9630596,,,,,,,,,
PassPerItem,1000,Integer,9625665,,,,,,,,,
PassPerItem,1000,Integer,9620662,,,,,,,,,
PassPerItem,1000,Integer,9666429,,,,,,,,,
PassPerItem,1000,Integer,9647391,,,,,,,,,
PassPerItem,1000,Integer,9740354,,,,,,,,,
PassPerItem,1000,Integer,9657701,,,,,,,,,
PassPerItem,1000,Integer,9636270,,,,,,,,,
PassPerItem,1000,Integer,9636844,,,,,,,,,
PassPerItem,1000,Integer,9652528,,,,,,,,,
PassPerItem,1000,Integer,9635786,,,,,,,,,
PassPerItem,1000,Integer,9662964,,,,,,,,,
PassPerItem,1000,Integer,9658186,,,,,,,,,
PassPerItem,1000,Integer,9628062,,,,,,,,,
PassPerItem,1000,Integer,9664922,,,,,,,,,
PassPerItem,1000,Integer,9640475,,,,,,,,,
PassPerItem,1000,Integer,9632514,,,,,,,,,
PassPerItem,1000,Integer,9632190,,,,,,,,,
PassPerItem,1000,Integer,9626778,,,,,,,,,
PassPerItem,1000,Integer,9659008,,,,,,,,,
PassPerItem,1000,Integer,9645630,,,,,,,,,
PassPerItem,1000,Integer,9623992,,,,,,,,,
PassPerItem,1000,Integer,9662885,,,,,,,,,
PassPerItem,1000,Integer,9649098,,,,,,,,,
PassPerItem,1000,Integer,9750165,,,,,,,,,
PassPerItem,1000,Integer,9668772,,,,,,,,,
PassPerItem,1000,Integer,9671800,,,,,,,,,
PassPerItem,1000,Integer,9660870,,,,,,,,,
PassPerItem,1000,Integer,9658839,,,,,,,,,
PassPerItem,1000,Integer,9627870,,,,,,,,,
PassPerItem,1000,Integer,9644514,,,,,,,,,
PassPerItem,1000,Integer,9875140,,,,,,,,,
PassPerItem,1000,Integer,9656829,,,,,,,,,
PassPerItem,1000,Integer,9609850,,,,,,,,,
PassPerItem,1000,Integer,9623224,,,,,,,,,
PassPerItem,1000,Integer,31493496,,,,,,,,,
PassPerItem,1000,Integer,12435126,,,,,,,,,
PassPerItem,1000,Integer,9650225,,,,,,,,,
PassPerItem,1000,Integer,9640116,,,,,,,,,
PassPerItem,1000,Integer,9626428,,,,,,,,,
PassPerItem,1000,Integer,9673415,,,,,,,,,
PassPerItem,1000,Integer,9670172,,,,,,,,,
PassPerItem,1000,Integer,11941830,,,,,,,,,
PassPerItem,1000,Integer,9678947,,,,,,,,,
UntilNoChange,1000,Integer,9812368,,,,,,,,,
UntilNoChange,1000,Integer,9806248,,,,,,,,,
UntilNoChange,1000,Integer,10044726,,,,,,,,,
UntilNoChange,1000,Integer,10167201,,,,,,,,,
UntilNoChange,1000,Integer,9604626,,,,,,,,,
UntilNoChange,1000,Integer,9580088,,,,,,,,,
UntilNoChange,1000,Integer,9614416,,,,,,,,,
UntilNoChange,1000,Integer,9627919,,,,,,,,,
UntilNoChange,1000,Integer,9619512,,,,,,,,,
UntilNoChange,1000,Integer,9650632,,,,,,,,,
UntilNoChange,1000,Integer,9643571,,,,,,,,,
UntilNoChange,1000,Integer,9989100,,,,,,,,,
UntilNoChange,1000,Integer,9988837,,,,,,,,,
UntilNoChange,1000,Integer,10115507,,,,,,,,,
UntilNoChange,1000,Integer,10061233,,,,,,,,,
UntilNoChange,1000,Integer,10299886,,,,,,,,,
UntilNoChange,1000,Integer,9984325,,,,,,,,,
UntilNoChange,1000,Integer,10055757,,,,,,,,,
UntilNoChange,1000,Integer,10090429,,,,,,,,,
UntilNoChange,1000,Integer,10024537,,,,,,,,,
UntilNoChange,1000,Integer,9699669,,,,,,,,,
UntilNoChange,1000,Integer,9637395,,,,,,,,,
UntilNoChange,1000,Integer,9963682,,,,,,,,,
UntilNoChange,1000,Integer,10647367,,,,,,,,,
UntilNoChange,1000,Integer,9584544,,,,,,,,,
UntilNoChange,1000,Integer,9827254,,,,,,,,,
UntilNoChange,1000,Integer,9570075,,,,,,,,,
UntilNoChange,1000,Integer,9608792,,,,,,,,,
UntilNoChange,1000,Integer,9695835,,,,,,,,,
UntilNoChange,1000,Integer,9574233,,,,,,,,,
UntilNoChange,1000,Integer,9557312,,,,,,,,,
UntilNoChange,1000,Integer,9558169,,,,,,,,,
UntilNoChange,1000,Integer,9764127,,,,,,,,,
UntilNoChange,1000,Integer,10163498,,,,,,,,,
UntilNoChange,1000,Integer,10014598,,,,,,,,,
UntilNoChange,1000,Integer,9630771,,,,,,,,,
UntilNoChange,1000,Integer,9574407,,,,,,,,,
UntilNoChange,1000,Integer,9899740,,,,,,,,,
UntilNoChange,1000,Integer,13682075,,,,,,,,,
UntilNoChange,1000,Integer,9569459,,,,,,,,,
UntilNoChange,1000,Integer,9563326,,,,,,,,,
UntilNoChange,1000,Integer,9563850,,,,,,,,,
UntilNoChange,1000,Integer,9569748,,,,,,,,,
UntilNoChange,1000,Integer,9550188,,,,,,,,,
UntilNoChange,1000,Integer,9568560,,,,,,,,,
UntilNoChange,1000,Integer,9561792,,,,,,,,,
UntilNoChange,1000,Integer,9575791,,,,,,,,,
UntilNoChange,1000,Integer,9555059,,,,,,,,,
UntilNoChange,1000,Integer,9578678,,,,,,,,,
UntilNoChange,1000,Integer,9567133,,,,,,,,,
UntilNoChange,1000,Integer,9575790,,,,,,,,,
UntilNoChange,1000,Integer,9607751,,,,,,,,,
UntilNoChange,1000,Integer,9578376,,,,,,,,,
UntilNoChange,1000,Integer,9568909,,,,,,,,,
UntilNoChange,1000,Integer,9567352,,,,,,,,,
UntilNoChange,1000,Integer,9548539,,,,,,,,,
UntilNoChange,1000,Integer,9555957,,,,,,,,,
UntilNoChange,1000,Integer,9575729,,,,,,,,,
UntilNoChange,1000,Integer,9557460,,,,,,,,,
UntilNoChange,1000,Integer,9559401,,,,,,,,,
UntilNoChange,1000,Integer,9562601,,,,,,,,,
UntilNoChange,1000,Integer,9562137,,,,,,,,,
UntilNoChange,1000,Integer,9570896,,,,,,,,,
UntilNoChange,1000,Integer,9557172,,,,,,,,,
UntilNoChange,1000,Integer,9555763,,,,,,,,,
UntilNoChange,1000,Integer,9555193,,,,,,,,,
UntilNoChange,1000,Integer,9583233,,,,,,,,,
UntilNoChange,1000,Integer,9579058,,,,,,,,,
UntilNoChange,1000,Integer,9565578,,,,,,,,,
UntilNoChange,1000,Integer,9562590,,,,,,,,,
