Algorithm,Size,Type,Time (nanoseconds)
WhileNeeded,1000,Integer,5833885
WhileNeeded,1000,Integer,6092196
WhileNeeded,1000,Integer,6949751
WhileNeeded,1000,Integer,5997118
WhileNeeded,1000,Integer,6057943
WhileNeeded,1000,Integer,6838222
WhileNeeded,1000,Integer,6037838
WhileNeeded,1000,Integer,6076927
WhileNeeded,1000,Integer,6145197
WhileNeeded,1000,Integer,6139590
WhileNeeded,1000,Integer,5999535
WhileNeeded,1000,Integer,6721572
WhileNeeded,1000,Integer,5794184
WhileNeeded,1000,Integer,5909542
WhileNeeded,1000,Integer,5893634
WhileNeeded,1000,Integer,5834609
WhileNeeded,1000,Integer,5872518
WhileNeeded,1000,Integer,5793420
PassPerItem,5000,Integer,240408593
PassPerItem,5000,Integer,243916583
PassPerItem,5000,Integer,236884692
PassPerItem,5000,Integer,256297500
PassPerItem,5000,Integer,234738771
PassPerItem,5000,Integer,228746792
PassPerItem,5000,Integer,233313914
PassPerItem,5000,Integer,234237729
PassPerItem,5000,Integer,227892609
PassPerItem,5000,Integer,219769149
PassPerItem,5000,Integer,223117540
PassPerItem,5000,Integer,269688721
PassPerItem,5000,Integer,221845179
PassPerItem,5000,Integer,222330276
PassPerItem,5000,Integer,221435683
PassPerItem,5000,Integer,220443439
PassPerItem,5000,Integer,219725503
PassPerItem,5000,Integer,221138225
PassPerItem,5000,Integer,221628789
PassPerItem,5000,Integer,222678547
PassPerItem,5000,Integer,222895323
PassPerItem,5000,Integer,229466897
PassPerItem,5000,Integer,222034166
PassPerItem,5000,Integer,234415092
PassPerItem,5000,Integer,231260323
PassPerItem,5000,Integer,275833870
PassPerItem,5000,Integer,256110211
PassPerItem,5000,Integer,258065539
PassPerItem,5000,Integer,262619463
PassPerItem,5000,Integer,252968039
PassPerItem,5000,Integer,222052325
PassPerItem,5000,Integer,221219441
PassPerItem,5000,Integer,225908618
PassPerItem,5000,Integer,221077139
PassPerItem,5000,Integer,221710638
PassPerItem,5000,Integer,226165594
PassPerItem,5000,Integer,232463306
PassPerItem,5000,Integer,249308584
PassPerItem,5000,Integer,229724084
PassPerItem,5000,Integer,231650785
PassPerItem,5000,Integer,226918317
PassPerItem,5000,Integer,227260693
PassPerItem,5000,Integer,255257960
PassPerItem,5000,Integer,231236672
PassPerItem,5000,Integer,270896844
PassPerItem,5000,Integer,229640831
PassPerItem,5000,Integer,228414792
PassPerItem,5000,Integer,227896093
PassPerItem,5000,Integer,229860143
PassPerItem,5000,Integer,249684077
PassPerItem,5000,Integer,239931556
PassPerItem,5000,Integer,254454902
PassPerItem,5000,Integer,254150888
PassPerItem,5000,Integer,252180098
PassPerItem,5000,Integer,250216888
PassPerItem,5000,Integer,250153274
PassPerItem,5000,Integer,244760690
PassPerItem,5000,Integer,249570708
PassPerItem,5000,Integer,248191452
PassPerItem,5000,Integer,254389989
PassPerItem,5000,Integer,256124875
PassPerItem,5000,Integer,261908976
PassPerItem,5000,Integer,243803252
PassPerItem,5000,Integer,267298254
PassPerItem,5000,Integer,269842223
PassPerItem,5000,Integer,271984060
PassPerItem,5000,Integer,252335675
PassPerItem,5000,Integer,254437437
PassPerItem,5000,Integer,238460844
PassPerItem,5000,Integer,246779409
PassPerItem,5000,Integer,254800897
PassPerItem,5000,Integer,268021094
PassPerItem,5000,Integer,253411780
PassPerItem,5000,Integer,249931763
PassPerItem,5000,Integer,251910831
PassPerItem,5000,Integer,241620146
PassPerItem,5000,Integer,250867226
PassPerItem,5000,Integer,254633831
PassPerItem,5000,Integer,242570503
PassPerItem,5000,Integer,257769095
PassPerItem,5000,Integer,246290040
PassPerItem,5000,Integer,248372258
PassPerItem,5000,Integer,235832660
PassPerItem,5000,Integer,227366544
PassPerItem,5000,Integer,226780941
PassPerItem,5000,Integer,223648141
PassPerItem,5000,Integer,225252477
PassPerItem,5000,Integer,226482485
PassPerItem,5000,Integer,220619437
PassPerItem,5000,Integer,243892957
PassPerItem,5000,Integer,222086441
PassPerItem,5000,Integer,221115070
PassPerItem,5000,Integer,220024147
PassPerItem,5000,Integer,221303184
PassPerItem,5000,Integer,220518660
PassPerItem,5000,Integer,220335825
PassPerItem,5000,Integer,236461019
PassPerItem,5000,Integer,219210509
PassPerItem,5000,Integer,228070984
PassPerItem,5000,Integer,234293209
UntileNoChange,5000,Integer,248959784
UntileNoChange,5000,Integer,253718457
UntileNoChange,5000,Integer,240388379
UntileNoChange,5000,Integer,256183591
UntileNoChange,5000,Integer,235257091
UntileNoChange,5000,Integer,237801406
UntileNoChange,5000,Integer,242178100
UntileNoChange,5000,Integer,249192797
UntileNoChange,5000,Integer,240177730
UntileNoChange,5000,Integer,239667499
UntileNoChange,5000,Integer,236755801
UntileNoChange,5000,Integer,240586654
